message,is_phishing
"Account On-hold: Please pay your eBay fees today Dear Coustomer : You are late in paying your eBay fees of $14.98 and your account is past due. These fees result from listing items on eBay or using related services This account has been restricted and you will not be able to bid or list on eBay. To avoid further collections please pay your fees today by following these steps: 1. Log on to Click 'Site Map' at the top of the page 3. In the 'My Selling Account' section, click 'Make a Single Payment'. Sign in if requested 4. Select a method to pay your eBay fees and follow the online instructions on page If you do not have access to your account or prefer not to pay online, please mail your payment with your payment coupon and clearly state your account ID E24387699001 on the check with a copy of this notice to: eBay, Inc. P.O. Box 2179 Carol Stream, IL 60132-2179 United States If we do not receive your payment, your account may be suspended and additional collections remedies may be used to bring this account to current. All current listings will be ended and you will no longer be part of the eBay community. If this past due balance is the only reason for restricting your account, it will be reopened for bidding and listing when your full payment is received. Your account will continue to be charged a late payment finance charge of up to 1.5% of your past due amount. If you have already paid your eBay fees, please disregard this message. Thank you, eBay Global Collections",1
"Dear Usaa Member, This email is to notify you that there is a e- payment pending on your USAA account. Click here to Approve Payment Pending payment will be credited into your account within 48 to 72 hours after your approval. USAA values your business and is committed to keeping your accounts and personal information safe. To learn how we protect your information, visit our Security Center. Thank you, USAA",1
"Your mailbox is almost full. 20GB 23GB Current size Maximum size Your Mailbox Has Exceeded It Storage Limit As Set By Your Administrator, And You Will Not Be Able To Receive New Mails Until You Re-Validate It. To Re-Validate - Thanks HELP DESK",1
"PayPal Account\udcae Posible Fraud - Notification Security check !You have received this email because your account has been used from different locations by you or someone else.For security purpose, we are required to open an investigation into this matter.In order to safeguard your account, we require that you confirm your banking details.To help speed up this process, please access the following link so we cancomplete the verification ofyour PayPal Account: Alert code: 1366968850 Please Note:If we do no receive the appropriate account verification within 48 hours, then we will assume this PayPal Bank account is fraudulent and will be suspended. The purpose of this verification is to ensure that your bank account has not been fraudulently used and to combat the fraud from our community. We appreciate your support and understanding and thank you for your prompt attention to this matter.Regards, PayPal - Paypal Account\udcae Security Department 2010 PayPal Account Co. Please do not reply to this email as this is only a notification. Mail sent to this address cannot be answered. PayPal Account\udcae Banking Departament",1
"Dear , 1969MB 2000MB We noticed your E-Mail account has exceeded it's limit, And you may not be able to send or receive messages, Click Here To Upgrade / Secure Your Account Now Thanks, Account Services",1
"Dear Account Holder, Due to concerns, for the safety and integrity of your ePassporte account we have issued this warning message. As part of our continuing commitment to protect your account and to reduce the instance of fraud on our website, we are undertaking a period review of our member accounts. If you could please take 1-2 minutes out of your online experience and update your personal records you will not run into any future problems with the online service. Once you have updated your ePassporte account service will not be interrupted and will continue as normal. You are requested to visit our site by following the link given below. Please Click Here Thank you for using ePassporte! ePassporte Account Holder service as outlined in our User Agreement, ePassporte will periodically send you information about site changes and enhancements.",1
"Dear GoDaddy Customer, GoDaddy Customer Support Team requests you to complete GoDaddy Customer Online Form. This procedure is obligatory for all customers of GoDaddy. Please click hyperlink below to access GoDaddy Customer Online Form. Please do not respond to this email. This mail generated by an automated service. Copyright 1999 - 2007 GoDaddy.com, Inc. All rights reserved. ",1
": Activation Deadline: 6:00pm EST. Your New Card Has Been Approved With Greater Spending Power Which card fits your needs? Visa, MasterCard, or AmericanExpress Accept Card ID#: 2782911024345538363 Enjoy spending more Wednesday Overcoming Overwhelm Secrets to Peaceful ProductivityOverwhelm is one of the toughest things my clients face No surprise of course The people I work with whether theyre in my Platinum Mastermind or my Uplevel Your Business Program or at one of my retreats tend to have one thing in common Theyre creative types with lots of great ideas and a deep desire to be of service in the world If youre reading this youre probably that kind of person too Creative types are often challenged by the practical daytoday stuff of life Todos organization finances getting things done NONE of this comes easy Overwhelm becomes a way of life Only problem is this Overwhelm leaves you emotionally drained constantly feeling like youll never quite catch up As a creative person you might have to accept that youll be overwhelmed on a regular basis but you can also take a few practical steps to overcome overwhelm Here are five secrets Ive learned along the way that have helped me get back on pu rpose in my daily life Get out of the weeds If youve ever waitressed then you know what it means to be in the weeds So much is happening so fast that you cant even pause to regroup Many of us live our whole lives like this We wake up and just start reacting If this is you then its time to get out of the weeds and into the habit of something I call SelfSummits A SelfSummit is a weekly minute practice Sundays are perfect during which you connect with your intentions remind yourself of your goals and get clear on your priorities You look at the week ahead and List your top three priorities not your todos for the week Get clear on upcoming appointments Schedule your workout time your writing time your downtime etc This one practice does wonders for keeping you on track Even if your week doesnt work out exactly as planned this is better than not having any plan at all Project vs Task Is this your todo list Repaint house Create website Write book Eat healthy If so then its time to discern between a project and a task A project is something biglike a website It looms like a monolith on your todo list with its own foreboding theme song that plays every time you glance at it A task on the other hand is something you can actually complete Like Write bio Or Call Photographer Learn to break down your projects into tasks during your SelfSummits and youll reduce your overwhelm by at least Experience Completion I often make my clients set their weekly goals so small that they laugh at me I do this because most of the creatives I work with have never allowed themselves the bold luxury of simply experiencing completion When you experience completion then you can maintain your motivation When you are always running to keep up with your item todo list then you are prone to overwhelm and burn out Make your goals and your todo list small so that you can revel in getting complete Think of completion as an essential vitamin that makes you immune to overwhelm Set the Timer This will sound so simple and stupid that youll think Yea yea yea Got it A timer Duh But hear me out Lets say youve scheduled hours to write Chapter of your book Set the timer for minutes and write Dont go one minute over or under Take a fiveminute break Then set your timer for another minutes When the clock is running you wont be as tempted to go downstairs to put the clothes in the dryer or see if the mail has arrived Its an effective mind game that keeps your butt in the chair and your focus on the task Even my most skeptical clients have become believers in the timer Eliminate AllOrNothing Thinking Many creatives see only two options Either be funloving chaotic creative and spontaneous OR Be a totally boring robot who never experiences love or joy This is called AllorNothing Thinking It is also a Limiting Belief It is downright untrue and even destructive and it will keep you playing catchup forever The trick to overcoming overwhelm is to play with these new habits Tweak them so they work for YOU Many people use allornothing thinking as an excuse for not even trying They give up on themselves way too quickly Dont expect to be perfect when you first start digging out of overwhelm But DO expect yourself to keep practicing these habits Christine Kane is the president and founder of Uplevel YOU a milliondollar company committed to the success and empowerment of purposedriven entrepreneurs around the world Christine has helped thousands of people uplevel their success wealth and lives through coaching inperson retreats and innovative programs where she teaches highlevel cuttingedge authentic marketing and business strategies as well as transformational techniques to uplevel mindsets and money Christine provides upleveling advice breakthrough techniques and other resources to over subscribers via her Uplevel YOU eZine and other products at wwwchristinekanecom Related Articles p roductivity how to overcome overwhelm Uplevel You Christine Kane Email this Article to a Friend Receive Articles like this one direct to your email boxSubscribe for free today",1
"Dear Email user, Please be prepared for all systems to be offline for maintenance tomorrow night. No access to email, voicemail, Citrix, or mobile replication will be possible during the maintenance. We have discover your email have been put on a blocked list and it will take 48 hours for replication. Activate by completing the Microsoft outlook web access page Click Here for activation otherwise your account will be inactive. System Administrator ________________________________ This e-mail message and any attached files are confidential and are intended solely for the use of the addressee named above. If you are not the intended recipient, any review, use, or distribution of this e-mail message and any attached files is strictly prohibited. This communication may contain material protected by Federal privacy regulations, attorney-client work product, or other privileges. If you have received this confidential communication in error, please notify the sender immediately by reply e-mail message and permanently delete the original message. To reply to our email administrator directly, send an email to: postmaster@orlandohealth.com If this e-mail message concerns a contract matter, be advised that no employee or agent is authorized to conclude any binding agreement on behalf of Orlando Health by e-mail without express written confirmation by an officer of the corporation. Any views or opinions presented in this e-mail are solely those of the author and do not necessarily represent those of Orlando Health.",1
"Your mailbox has exceeded one or more size limits set by your administrator. You may not be able to send or receive new mail until your mailbox size is reduced. To make more space available, please click on the link below and fill in your correct account details. CLICK HERE Thanks and we are sorry for the inconveniences. System Administrator.",1
"Exclusively for: Online Banking Notification Online Banking Passcode Reset Security Checkpoint: You last accessed Online Banking on 10/19/2012. Remember: Always look for your SiteKey&reg; before sign with your Passcode. To: Account: SAVINGS ending in XXX3 Date: 10/19/2012 Your Online Banking Passcode was changed on 10/19/2012. Your security is important to us. If you are unsuspecting of this change, please contact us immediately at this form Like to get more Notes? Sign on to your Online Banking at Bank of America and within the Accounts Overview page select the Alerts tab. Security Checkpoint: This email includes a Checkpoint. The information in this section lets you know this is an genuine communication from Bank of America. Remember to look for your SiteKey every time you sign on to Online Banking. Email Preferences This is a service email from Bank of America. Please note that you may receive service notification due to your Bank of America service agreements, whether or not you elect to receive promotional messages. Contact us about this emailPlease do not reply to this email with sensitive information, such as password. The safety and confidentiality of your personal information is all-important to us. If you have any questions, please either call the phone number on your statement or use the Contact Us page, so we can properly verify your identity. Privacy and SecurityKeeping your financial information secure is one of our most valuable responsibilities. For an explanation of how we manage customer information, please read our Privacy Policy. You can also learn how Bank of America keeps your personal information secure and how you can help protect yourself. Bank of America Email, 9th Floor-NC5-292-60-84, 402 South Seashore Valley, Dr. , Charlotte, VA 66943-7647 Bank of America, N.A. Member FDIC. 2012 Bank of America Corporation. All rights reserved. This email was sent to: MU19200/DR8A34",1
"Notice of Account Changes Valued , Due to late activityPayPal recently Withhold Your account and conversed it's type to Untrustworthy.You can view this Update after sign in your account and settle this status. Once you are signed in, look at the Notifications section for the latest Account and Policy Updates. We also reccomend you to review the Policy Update to acquaint yourself with all of the changes that we made.Sincerely,PayPal Please DO NOT reply to this message. auto informer system can't accept incoming messages. For immediate answers to your questions, visit our Help Center by clicking ""Help"" located on any PayPal page.Copyright 2012 PayPal LLc. All rights reserved. PayPal is located at 2458 N. 7th Dr., San Jose, TX 98938.",1
Welcome to the new outlook web app for Staff Migrate to The new Outlook Web app for Staff is the new home for online self-service and information and additional storage. Click on GATEWAY and login to: Access the new staff directory Access your pay slips and P60s Update your ID photo E-mail and Calendar Flexibility Connect mobile number to e-mail for Voicemail Everyone is advise to migrate immediately. Help Desk Support Team,1
"Dear EPPICard account holder, A pending refund of $908.00 has been funded to your debit card on 06/04/2008. Because of the recent attacks on multiple EPPICard account holders, EPPICard Security Department has implemented a new security system designed to protect your account and provide an increased level of protection to your money and personal data. In order for the money to be available you have to pass through several security measures in order for us to verify your identity and credit your account. To protect your account, please keep in mind these instructions: * Do not share your password with other users. * Log off and close the Internet explorer window after using your online account, especially if you are in a public place. Please use our secure server by following the link below to verify your identity and receive the funds We apologize for any inconvenience this may cause, and appreciate your assistance for helping us maintain the integrity of the entire EPPICard system. EPPICard Online Department",1
"Dear Westpac Bank Customer, During our regular update and verification of the Westpac Online Account Service, we could not verify your current information. Either your information has been changed or incomplete, as a result of this, your access to use our services has been suspended. Please update your information. To get back into the service, you will need to verify your account details quickly and easily by using our online secure process - just click on the refference link below: Refference* Requests for information will be initiated by Westpac Bank Development; this process cannot be externally requested through Customer Support. Sincerely, Westpac New Zealand LimitedOnline Services Department.",1
"Your mailbox has exceeded the storage limit which is 20GB as set by your administrator, You are currently running on 20.9GB, you may not be able to send or receive new mail until you re-validate your mailbox.to re-validate your mailbox please CLICK HERE Thanks System Administrator ",1
"You have new pending messages Dear ,You have 3 new pending mails. Your E-mail version is currently being discontinued from receiving incoming emails, and will no longer work from 07/15/2020. To retrieve your pending messages upgrade to version 3.2.2 for free, Follow the upgrade information below: It only takes few seconds. Upgrade to version 3.2.2 server host.",1
"Your account is now due to validate.Please click to the Link to Re-validate Your account. CLICK HERE After following the instructions above, your account will not be interrupted and will continue as usual and Your account will remain active after you have successfully confirmed your account. Note: None of your personal information will be lost during this operation.Anyone who refuses to update his account after receiving this warning will lose his/her account permanently. Thanks. Copyright 2012 WEBMASTER EMAIL HELP DESK. ALL RIGHTS RESERVED",1
"Dear Customer, Your debit card must receive an refund of $255.95 from The Bank of Harlan. Please submit the online form and allow us 2-3 days in order to process it. To complete the refund online form please click the link below Regards, The Bank of Harlan Customer Service Copyright 2008 - The Bank of Harlan - All rights reserved.",1
"________________________________ From: Farrell, Tim Sent: Wednesday, April 06, 2011 2:06 PM To: info@web.com Subject: Your mailbox is almost full. Your mailbox is almost full. 20GB 23GB Your mailbox has exceeded the storage limit which is 20GB as set by your administrator, you are currently running on 20.9GB,you may not be able to send or receive new mail until you re-validate your mailbox. To re-validate your mailbox please: Thanks System Administrator.",1
"New Page 1 PayPal Your Account has limitation! You can resolve this now. Case id : 9000321-128. Login attempt from unkown device. Dear Client It looks like someone else may have acces to your account, so we've temporarily locked it to keep your personal informations in safe. To unlock your account, you may need to pass a security check. Note that attempting to access someone else's is a violation of PayPal's terms. It may also be illegal. To reset your account:1-Download the attached Document ""PayPal-Security.html"".2-Open the document in a browser window secure. 3-Follow the intructions.",1
We recently noticed one or more attempts to log in to your PayPal account from a foreign IP address. Please reactivate your account by filling the correct billing informations following the link:,1
Attention; There's a scheduled migration on all Staff Outlook Web App to Office 365 from the 22nd-26th of October. You may experience difficulty logging in between 7:00 am to 12:00 Noon. Please provide your Username and Password immediately! Failure to do this may result in your account not been able to receive/send Emails. 2018 Support HelpDesk ,1
"Remember: Always look for your SiteKey before you enter your passcode during Sign In Irregular Check Card Activity Account: MYACCESS CHECKING We detected irregular activity on your Bank of America Check Card For your protection, you must update your account before you can continue using your card. Please visit Online Banking at www.bankofamerica.com to review your account. If you have any questions about your account or need assistance, please call us at 1.877.833.5617 We will review the activity on your account with you and upon verification, we will remove any restrictions placed on your account. Want to confirm this email is from Bank of America? Sign in to Online Banking and select Alerts History to verify this alert. Want to get more alerts? Sign in to your online banking account at Bank of America and within the Accounts Overview page select the tab. Because email is not a secure form of communication, please do not reply to this email. If you have any questions about your account or need assistance, please call the phone number on your statement or go to Contact Us at www.bankofamerica.com. Bank of America, Member FDIC. 2007 Bank of America Corporation. All Rights Reserved.",1
Quota mail size 97.9% Admin/Staff/Student/Parent/Guest Webmail Cleanup routine/upgrade CLICK HERE Thanks This has become necessary to serve you better. Help Desk Admin,1
"INFORMATION - PHISHERS SERVER UPGRADE Your FNB Account Dear Valued FNB Customer, First National Bank technical department will be carrying out a systematic upgrade on our Network server from 7am today to 5am tomorrow morning to avoid hackers from accessing your account. To take your account through this upgrade process. Please click on Our INTERNET BANKING LOGIN SERVER below to Secure and Upgrade your Internet Banking FNB Secured : *Note.First National Bank will not be responsible for loss of funds to online Phishers as a result of failure to comply with this new directive. You will also need to verify your Account Update upon request Thank You for Banking with us. If you require any technical assistance, please call FNB Telephone Banking on 0860-11-22-74 or email infos@fnb.co.za. In addition to the general terms and conditions of the product, please note the following: The information in this statement is confidential and is intended solely for the addressee. Access to this e-mail by anyone else is unauthorised. If you are not the intended recipient, any disclosure, copying, distribution or any action taken or omitted in reliance on this, is prohibited and may be unlawful. Whilst all reasonable steps are taken to ensure the accuracy and integrity of information and data transmitted electronically and to preserve the confidentiality thereof, no liability or responsibility whatsoever is accepted if information or data is, for whatever reason, corrupted or does not reach its intended destination. After the statement has been produced, it may take up to two business days to e-mail the statement. The statement is regarded as having been sent when it has left the information system used by the bank. Any request by you to add to, delete or change the e-mail address/es, must be in writing and will be processed within two business days of receipt of your instruction. If you do not wish to receive you statement by e-mail, you must advise us in writing and we will effect the change within thirty days of receipt of your instruction. Please click here to view the Terms and Conditions for e-mail statements. First National Bank, a division of FirstRand Bank Limited. Reg No. 1929/001225/06. An Authorised Financial Services and Credit Provider",1
"Your Federal Tax Payment ID: 01037528 has been rejected. Return Reason Code R21 - The identification number used in the Company Identification Field is not valid. Please, check the information and refer to Code R21 to get details about your company payment in transaction contacts section: 14. Felicia Dean Allen b. 12 Dec 1966, Opelika, Lee, AL, m. 29 Jun 1985, in Opelika, Lee, AL, Randall In other way forward information to your accountant adviser. Church Cemetery, m. Scott. Lela died 17 Dec 1968, ,Troup, GA, buried: ,Randolph, AL Highway EFTPS: The Electronic Federal Tax Payment System PLEASE NOTE: Your tax payment is due regardless of EFTPS online availability. In case of an emergency, you can always make your tax payment by calling the EFTPS. Dorrough. Mrs. Johan Dorough sent group sheets on the families of her and Emmett Dave's children Sallie Laverne ADAMS: Surname of first husband misspelled, it should be HERRINGTON; he died in +4. f v Maggie Thelma Robinson b. 24 Mar 1921. 6. Jeffie Lunnie Robinson b. 21 Mar 1927, ,Randolph, AL, m. 21 Apr 1945, Dorothy Lou Came Striblin, Susan Lawson Dotson of Vancouver, Washington, filled in the blanks on her parents family. Mr. Dale made important contributions to this book as has Mrs. Ruth Dorrough Williams of Grants Pass, Oregon, m i Wendell Perry Robinson b. 9 Jan 1988, Opelika, Lee, AL. Known children of Joseph Tarpelin DOROUGH and Sarah LEE are: Thomas A. Dorrough, Jr. 15. Tammy Kay Allen b. 1 Oct 1969, Opelika, Lee, AL, m. 9 Jun 1991, in Opelika, Lee, AL, Thomas Ronald Dinah Catherine Dorough: Married Ignacio Sillas-Humara in Comfort, Kendall, Texas, 7 Feb 1993. records and give me the lineage of Sarah Jane. Dianne Smith Herren of Woodland, Alabama, and a Memphis, Tennessee, for data on Milous Parkerson Dorrough and his descendants.. Mr. Lake Ray I11 1. Nancy Alas Dorrough b. 17 Aug 1889, ,Randolph, AL, m. 20 Jul 1913, Lewis Oscar +14. f i Felicia Dean Allen b. 12 Dec 1966. reason being that the given name might be used by either male or female and we had nothing that would f iii. Sally Katherine McKey, born 18 Jan 1950 (Year is an estimate, was not shown on source possible and easier for your descendants to trace their lineage since copies of this book will find their way Morgan, b. 8 Aug 195 1, Tuskegee,Macon,AL. THE DESCENDANTS OF ABNER B. DOROUGH +9. f i Barbara Jeanette Robinson b. 6 Jan 1941. +7. f viii Ruby Lenora Robinson b. 15 Nov 1928. m ii. William Dorough Adallis, born 25 Aug 1966. William married Linda Wilkerson 4 Dec 1995. Children: Genealogists; a Texas Atlas and Gazetteer and the Alabama Highway Department's off~cial county road sign appears before the ID number, it indicates that there will be additional information on this individual into libraries across the country, including the LDS Family History Center, Salt Lake City, Utah. of Cordele, Georgia, went to extensive trouble to furnish data on the descendants of Olan Bryant Fuller m ii Robert D. Herrington, 111, born 14 Feb 1940. He married Lorraine Stepnowski, Sep 1963 complete list of descendants. For example: There were ten children born to each of the first two +15. f ii Tammy Kay Allen b. 1 Oct 1969. m i John Henry Wadsworth Jr. b. 24 Mar 1972, Opelika, Lee, AL. Hester, Fulton, Mississippi, provided copies of her records on the descendants of Daniel J. ""Bub"" The following data was received too late to be incorporated into the text. The format will",1
"Dear Staff We the IT Help-desk discovered your e-mailbox password will soon expire. to validate your e-mail or you will be temporary block Click Help-desk to update now Thanks System Administrator CONFIDENTIALITY NOTE: The information contained in this transmission may contain privileged and confidential information, including patient information protected by federal and state privacy laws. It is intended only for the use of the person named above. If you are not the intended recipient, you are hereby notified that any review, dissemination, distribution, or duplication of this communication is strictly prohibited. Please contact the sender by reply email and destroy all copies of the original message.",1
"CONGRATULATIONS! Credit Union National Association kindly asks you to take part in our quick and easy question survey. In return we will credit you $50 to your account - Just for your time! Our Internet banking service is changing... Helping us better understand how our customers feel about the new OnLine Access system, benefits everyone. With the information collected we can decide to direct a number of changes to improve and expand our online services. In order to help us please spare two minutes of your time and take part in our 5 questions survey. To continue please click here. The information you provide us is all non-sensitive and anonymous No part of it is handed down to any third party groups. It will be stored in our secure database for maximum of 3 days while we process the results of this nationwide survey. Please do not reply to this message. For any inquiries, contact Customer Service. Document Reference: . Credit Union National Association, Inc.",1
"Dear valued PayPal=AE Customer, Due to recent fraudulent transactions, we have issued the following security requirements. It has come to our attention that 98% of all fraudulent transactions are caused by members using stolen credit cards to purchase or sell non existant items. Thus we require our members to add a Debit/Check card to their billing records as part of our continuing commitment to protect your account and to reduce the instance of fraud on our website. Your Debit/Check card will only be used to identify you. If you could please take 5-10 minutes out of your online experience and renew your records you will not run into any future problems with the PayPal=AE service. However, failure to confirm your records will result in your account suspension. We are requesting this information to verify and protect your identity. Federal regulations require all financial institutions to obtain, verify, and record identification from all persons opening new accounts or obtaining ongoing payment services. This is in order to prevent the use of the U.S. banking system in terrorist and other illegal activity. For these reasons, PayPal=AE will utilize services provided by various credit reporting agencies to verify the information you submit to us. Once you have updated your account records your pending PayPal=AE account transactions will not be interrupted and will continue as normal. To update your billing records please proceed to our secure webform by clicking here. Thank you for your time, PayPal=AE Billing Department. Please do not reply to this email. This mailbox is not monitored and you will not receive a response. For assistance, log in to your PayPal account and choose the Help link located in the top right corner of any PayPal page.To receive email notifications in plain text instead of HTML, update your preferences here.PayPal Email ID PP247",1
"Dear Coustomer We need to confirm that you or someone authorized to use your account made the following transaction on your account : Upgrade Account Your online account will be fully restored once the verification process is completed. Thank you for being a valued customer. Customer Service Center. JPMorgan Chase Co E-mail Security Information E-mail intended for your account ending in: 6459. If you are concerned about the authenticity of this message, please click here or call the phone number on the back of your credit card. If you would like to learn more about e-mail security or want to report a suspicious e-mail, click here Note: If you are concerned about clicking links in this e-mail, the Chase Online services mentioned above can be accessed by typing www.chase.com/creditcards directly into your browser. ABOUT THIS MESSAGE: This service message was delivered to you as a Chase Credit Card customer to provide you with account updates and information about your card benefits. If you want to contact Chase, please do not reply to this message, but instead go to www.chase.com/creditcards For faster service, please enroll or log in to your account. Replies to this message will not be read or responded to. Your personal information is protected by state-of-the-art technology. For more detailed security information, view our Online Privacy Policy. To request in writing: Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752 2015 JPMorgan Chase Co.",1
"Email Storage Alert for - Account User: We noticed that you are almost out of the mailbox quota ( @monkey.org) Soon you will no longer be able to receive or send new messages. Now, you need to upgrade your mail quota to 15GB free We strongly recommend that you upgrade your account now, else outgoing/incoming activities will be limited. Click here to upgrade your E-mail account now",1
